"id";"name";"countryCode";"closedProgram";"paused";"categoryIds:0";"categoryIds:1";"categoryNames:0";"categoryNames:1";"logoUrl";"prepayment";"createdDate";"startDate";"statusId";"statusName";"avgEpc";"avgPaymentDays";"avgCancellationRate";"productFeed";"keywordPolicyId";"implementationTypeId";"autoAccept";"daysToAutoAccept";"applicationDate";"updatedDate";"cpc";"cpuv";"cpl";"cpa";"showPerformance";"acceptClaims";"currencyCode";"homePage";"deepLinking";"vouchers";"endingReasonId";"endingReason"
"362807";"Burlington AT";"AT";"false";"false";"16";"";"Shopping & Retail";"";"http://www.";"false";"2024-08-14 13:17";"2024-08-14 00:00";"0";"NONE";"0";"0";"0";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.burlington.de/at_de/";"true";"false";"";""
"357952";"Capalus.de (austria)";"AT";"false";"false";"17";"";"Food & Drink";"";"https://hst.tradedoubler.com/file/357952/common/p-7aad50340f2c6b8f3754c351fc6ab8cf.png";"false";"2024-04-08 09:02";"2024-04-08 00:00";"0";"NONE";"201.99";"12";"0";"true";"2";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://capalus.de";"true";"false";"";""
"370033";"Caprice AT";"AT";"false";"false";"7";"";"Fashion";"";"https://hst.tradedoubler.com/file/370033/common/p-ca9d88d7cb0337b6ff333a44ea81c28b.png";"false";"2024-12-23 15:01";"2024-12-23 00:00";"0";"NONE";"0.39";"14";"0.06";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"false";"true";"EUR";"https://capriceshoes.com/de-AT/";"true";"false";"";""
"326819";"Condor AT";"AT";"false";"false";"11";"";"Travel";"";"https://hst.tradedoubler.com/file/326819/common/p-8579e4fc6f8f5c487d5db17a1c8261cd.png";"false";"2022-02-25 00:00";"2022-02-25 00:00";"0";"NONE";"83.72";"10";"0";"false";"0";"3";"false";"";"";"";"false";"false";"true";"true";"true";"true";"EUR";"https://www.condor.com/de/index.jsp";"true";"true";"";""
"392839";"Crone Shop";"AT";"false";"false";"16";"";"Shopping & Retail";"";"https://hst.tradedoubler.com/file/392819/Logos/CroneLogo200x70.png";"false";"2025-10-29 11:27";"2025-10-29 00:00";"0";"NONE";"0";"0";"0";"true";"0";"6";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://crone.shop/";"true";"true";"";""
"330509";"Desigual AT";"AT";"false";"false";"7";"";"Fashion";"";"http://hst.tradedoubler.com/file/330509/10.08.22/Desigual/New_Brand_Banners_340x50_01.jpg";"false";"2022-06-14 12:54";"2022-06-14 00:00";"0";"NONE";"0";"3";"0.25";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"false";"EUR";"https://www.desigual.com/de_AT";"true";"true";"";""
"304642";"Disney+";"AT";"false";"false";"13";"";"Media & Entertainment";"";"https://hst.tradedoubler.com/file/304642/common/p-a2bebfd5d507970150e896ccc71404e1.png";"false";"2020-02-25 00:00";"2020-02-25 00:00";"0";"NONE";"38.21";"3";"0.53";"false";"0";"3";"false";"";"";"";"false";"false";"true";"true";"true";"false";"EUR";"https://disneyplus.bn5x.net/c/2076680/564546/9358?subId1=^^&sharedid=[td_site_name]_[td_affiliate_id]";"true";"false";"";""
"390770";"Esdemarca AT";"AT";"false";"false";"16";"";"Shopping & Retail";"";"https://hst.tradedoubler.com/file/390770/Logo1.png";"false";"2025-08-25 14:43";"2025-08-25 00:00";"0";"NONE";"0";"33";"0.75";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.esdemarca.com";"true";"false";"";""
"376463";"Ethanolkamin-shop.at";"AT";"false";"false";"14";"";"Home & Garden";"";"https://hst.tradedoubler.com/file/376463/common/p-d22b2b2184666a30f37779c4791d5701.png";"false";"2025-03-25 13:11";"2025-03-25 00:00";"0";"NONE";"0";"42";"0";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"false";"true";"EUR";"https://www.ethanolkamin-shop.at/";"true";"false";"";""
"239104";"euroflorist";"AT";"false";"false";"7";"14";"Fashion";"Home & Garden";"http://hst.tradedoubler.com/file/239120/27.06.22/200x70.jpg";"false";"2013-07-09 00:00";"2013-07-09 00:00";"0";"NONE";"80.49";"30";"0.37";"true";"2";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.euroflorist.at";"true";"false";"";""
