"advertiserId";"programmeName";"conversionRate";"approvalRate";"epc";"launchDate";"paymentStatus";"paymentRiskLevel";"awinIndex";"feedEnabled";"productReporting";"commissionMin";"commissionMax";"leadMin";"leadMax";"cookieLength";"parentSectors";"subSectors";"primarySector";"averagePaymentTime";"primaryRegion";"descriptionShort";"logoUrl";"displayUrl"
"68692";"Fressnapf AT";"6.1174";"98.18";"0.15";"2023-11-23";"amber";"exposurelevel2";"66.9785";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Pets & Pet Care";"Pets & Pet Care";"96";"DE";"Mit dem Fressnapf Affiliate-Programm macht Umsätze generieren Spaß. Mit wechselnden Aktionen, einer großen Produkt-Auswahl und vielfältigen Werbemitteln erzielt Fressnapf hohe Conversion-Rates.";"https://ui.awin.com/images/upload/merchant/profile/68692.png";"https://www.fressnapf.at/"
"124270";"fibriq-wear";"";"0.00";"0.00";"2026-02-27";"amber";"exposurelevel1";"";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing";"Clothing";"null";"AT";"fibriQ entstand aus einer einzigen Vision – Eleganz ohne Kompromisse zu schaffen. Wo andere Seide wählen, wählen wir Stärke. Wo Tradition auf Innovation trifft, schaffen wir etwas Außergewöhnliches.";"https://ui.awin.com/images/upload/merchant/profile/124270.png";"https://www.fibriq-wear.com"
"99151";"Navimow EU";"2.41663";"84.79";"1.18";"2024-08-15";"amber";"exposurelevel2";"40.6894";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Home & Garden";"Home & Garden";"98";"DE";"Navimow is a smart robotic lawnmower that uses virtual boundaries to mow in precise straight lines, keeping your lawn perfectly maintained 24/7. We aim to provide an intelligent and convenient lifestyle to everyone without boundaries.";"https://ui.awin.com/images/upload/merchant/profile/99151.png";"https://navimow.segway.com/"
"13643";"Kastner & Öhler DE/AT";"0.452099";"75.53";"0.02";"2019-04-11";"green";"none";"45.1097";"yes";"no";"4";"4";"0";"0";"60";"Retail & Shopping";"Childrenswear|Clothing|Clothing Accessories|Furniture & Soft Furnishings|Gifts & Flowers|Green (Eco friendly)|Health & Beauty|Lingerie|Menswear|Shoes|Toys & Games|Womenswear|Baby & Toddler";"Clothing";"90";"AT";"Mode, Home, Beauty und Spielwaren Online-Shop.";"https://ui.awin.com/images/upload/merchant/profile/13643.png";"https://www.kastner-oehler.at"
"53953";"Allies of Skin EU";"";"0.00";"0.00";"2023-06-20";"amber";"exposurelevel2";"0";"no";"yes";"0";"0";"0";"0";"30";"Retail & Shopping";"Health & Beauty";"Health & Beauty";"78";"FR";"Allies of Skin is a cutting-edge skincare brand that combines the best of science, luxury, and clean beauty. With a focus on creating highly effective products, we aims to simplify skincare routines while delivering remarkable results.";"https://ui.awin.com/images/upload/merchant/profile/53953.png";"https://fr.allies.shop/"
"63704";"AktivWinter.at AT";"0.885716";"84.62";"0.07";"2023-09-26";"amber";"exposurelevel1";"58.9697";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Sportswear";"Sportswear";"59";"AT";"AktivWinter.at is part of one of Europe’s largest ski shops, offering 80+ leading brands since 2003. Affiliates earn up to 6.25% commission with fast approvals, monthly payouts, and flexible promotion options across content, cashback and comparison sites";"https://ui.awin.com/images/upload/merchant/profile/63704.png";"https://aktivwinter.at/"
"47981";"LEDAP AT";"20";"100.00";"0.96";"2023-05-31";"amber";"exposurelevel2";"55.096";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Sports Equipment";"Sports Equipment";"97";"AT";"Erleben Sie das Beste aus dem Padelsport mit LEDAP Shop, einem Premium-Händler für Padelsportausrüstung. Wir bieten ein umfangreiches Sortiment an erstklassiger Ausrüstung von führenden Marken zu attraktiven Preisen.";"https://ui.awin.com/images/upload/merchant/profile/47981.png";"https://ledapshop.com/at"
"123640";"hiPURE DE";"";"0.00";"0.00";"2026-02-05";"green";"none";"";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"FMCG|Health & Beauty";"FMCG";"null";"DE";"hiPURE ist ein fruchtiges Mikrovitalstoffkonzentrat, als tägliche Routine für die ganze Familie. Wir bieten euren Usern ein außergewöhnliches Gesundheitsprodukt mit einem starken USP. Wir freuen uns auf dich, bewirb dich jetzt!";"https://ui.awin.com/images/upload/merchant/profile/123640.png";"https://hipure.de/"
"14558";"HUMANIC AT";"1.12553";"72.30";"0.08";"2019-01-11";"green";"none";"44.3353";"yes";"no";"9";"9";"0";"0";"60";"Retail & Shopping";"Shoes";"Shoes";"69";"AT";"HUMANIC - Der Premium-Onlineshop für Schuhmode gehört zu den umsatzstärksten Schuhhändlern in Österreich und Deutschland. HUMANIC ist in acht weiteren europäischen Ländern vertreten.In Österreich besitzt HUMANIC einen Bekanntheitsgrad von über 90%.";"https://ui.awin.com/images/upload/merchant/profile/14558.png";"https://www.humanic.net/at"
"61233";"Earfun, Inc";"3.79929";"92.22";"0.16";"2025-06-26";"green";"none";"81.98";"yes";"yes";"0";"0";"0";"0";"30";"Finance & Insurance|Retail & Shopping|Telco's & Services|Travel";"Property|Computers|Electronic Accessories|FMCG|Gadgets|Music & DVD|Office Supplies|PC & Video Games|Utilities|Airlines|Tourism & Attractions";"Gadgets";"34";"US";"EarFun was founded in 2018 and is dedicated to the development of professional audio products. It has won many industry awards in the past 6 years. Join our affiliate program, make a win-win cooperation.";"https://ui.awin.com/images/upload/merchant/profile/61233.png";"https://www.myearfun.com"
"6288";"Fiverr Affiliates (Global Affiliate Program)";"2.34346";"99.92";"0.07";"2015-04-16";"green";"none";"56.6488";"no";"yes";"0";"0";"20";"150";"365";"Finance & Insurance|Retail & Shopping|Telco's & Services";"Savings & Investments|Personal Banking|Audio Visual|Automotive|Books & Subscriptions|DIY|Gifts & Flowers|Health & Beauty|Home & Garden|Lead Gen|Music & DVD|PC & Video Games|Photography|Photos & Print Services|Toys & Games|Business Services (B2B)|Digital TV & Video-on-Demand|Education Training & Recruitment|Entertainment Downloads|Internet Service Provider|Lead Gen|Online Gaming|Utilities|Web Hosting|Baby & Toddler";"Business Services (B2B)";"47";"US";"Fiverr® is the world’s largest marketplace for freelance services where digital entrepreneurs and businesses can connect with incredible talent based on their budget, deadline, and project requirements. Over 700 categories, available in 7 languages.";"https://ui.awin.com/images/upload/merchant/profile/6288.png";"https://www.fiverr.com"
"34947";"Xcaret Global";"3.15808";"79.71";"0.87";"2022-11-09";"amber";"exposurelevel4";"63.1143";"no";"yes";"0";"0";"0";"0";"30";"Travel";"Hotels & Accommodation|Tourism & Attractions";"Tourism & Attractions";"71";"MX";"Since 1990, Xcaret has been an icon in the Cancun - Riviera Maya area.Our 8 different Eco-Theme Parks surrounded by nature allow visitors to enjoy several activities.";"https://ui.awin.com/images/upload/merchant/profile/34947.png";"https://www.xcaret.com/es/parques-en-cancun/"
"15751";"ESET DACH";"3.94077";"100.00";"0.46";"2018-11-19";"green";"none";"86.9863";"no";"no";"15";"15";"0";"0";"30";"Telco's & Services";"Software Downloads";"Software Downloads";"32";"DE";"ESET, einer der ersten Anti-Virus-Hersteller überhaupt, entwickelt seit über 30 Jahren besten Schutz für die IT-Sicherheit von mehr als 110 Millionen Nutzern in 202 Ländern weltweit.";"https://ui.awin.com/images/upload/merchant/profile/15751.png";"https://www.eset.com/de/"
"56093";"Jaded London - EU";"14.2788";"47.37";"0.92";"2023-06-27";"amber";"exposurelevel2";"68.7406";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing|Clothing Accessories|Menswear|Womenswear";"Clothing";"42";"DE";"Discover cutting-edge clothing inspired by global trends with Jaded London. Showcasing the latest streetwear across menswear and womenswear, with regular new and exclusive drops.";"https://ui.awin.com/images/upload/merchant/profile/56093.png";"https://jadedldn.com/en-de"
"26763";"365Rider";"1.42662";"80.47";"0.07";"2022-03-03";"amber";"exposurelevel1";"46.9798";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Clothing|Gadgets|Menswear|Shoes|Sports Equipment|Sportswear|Womenswear";"Sportswear";"88";"ES";"Join 365Rider's triathlon e-commerce affiliate program for high commissions and strong conversion rates. Access global partnerships, top brands like Saucony and Adidas, personalized ads, a 30-day cookie period, and low return rates. Enjoy timely payments.";"https://ui.awin.com/images/upload/merchant/profile/26763.png";"https://www.365rider.com/"
"10423";"Myprotein International";"6.83385";"96.53";"0.39";"2018-02-05";"green";"none";"70.3092";"yes";"yes";"0";"8";"0";"0";"30";"Retail & Shopping";"Clothing|Clothing Accessories|Health & Beauty|Sports Equipment|Sportswear";"Health & Beauty";"61";"DE";"Welcome to Myprotein, a fresh approach to buying sports supplements and nutrition.";"https://ui.awin.com/images/upload/merchant/profile/10423.png";"https://www.myprotein.com/"
"112832";"Mytrip";"4.02861";"98.43";"0.40";"2025-05-19";"amber";"exposurelevel2";"81.6977";"yes";"no";"0";"0";"0";"0";"30";"Travel";"Airlines|Hotels & Accommodation|Local Holidays|Tourism & Attractions|Travel Agencies";"Airlines";"69";"AR";"Join the world’s leading online travel company for flights. With 7M+ customers yearly, our affiliate program is one of the most profitable—offering local payment options and access to more than 800 airlines for higher sales.";"https://ui.awin.com/images/upload/merchant/profile/112832.png";"https://mytrip.com/"
"73379";"Tefal AT";"3.23508";"92.32";"0.21";"2024-03-06";"amber";"exposurelevel2";"58.1329";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Electronic Superstore";"Electronic Superstore";"103";"AT";"Konsequent an die Bedürfnisse seiner Kunden angepasst, überzeugt Tefal seit mehr als 60 Jahren immer wieder durch neuartige Lösungen im Haushalt, die den Alltag erleichtern und angenehmer gestalten. Dabei steht die Marke für Innovationen und Funktion.";"https://ui.awin.com/images/upload/merchant/profile/73379.png";"https://www.tefal.at/"
"114104";"Lunzo AT";"0.503368";"78.38";"0.02";"2025-04-17";"amber";"exposurelevel2";"59.1085";"yes";"no";"0";"0";"0";"0";"25";"Retail & Shopping";"Department Stores";"Department Stores";"57";"AT";"Lunzo.at offers thousands of high-quality and affordable products.";"https://ui.awin.com/images/upload/merchant/profile/114104.png";"https://www.lunzo.at/"
"114326";"Wobie DE";"2.53968";"100.00";"0.28";"2025-05-15";"green";"none";"66.9008";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Electronic Accessories|Electronic Superstore|Gadgets|Gifts & Flowers|Music & DVD|Toys & Games";"Electronic Superstore";"51";"DE";"Die wobie box bringt die Vielfalt von Spotify bildschirmfrei ins Kinderzimmer! Bis zu 7 Playlists können direkt von der Musikbox gehört werden, ohne Smartphone der Eltern – bildschirmfrei und ohne Folgekosten für Tonträger. Für Kinder ab 4 Jahren.";"https://ui.awin.com/images/upload/merchant/profile/114326.png";"https://www.wobie.de/"
"122760";"PAPSTAR AT";"";"0.00";"0.00";"2025-12-29";"amber";"exposurelevel2";"0";"yes";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Home & Garden";"Home & Garden";"null";"AT";"PAPSTAR gehört zu den Top-Anbietern für Einweggeschirr, Serviceverpackungen sowie Hygiene- und Dekoartikel. Mit über 5.000 Produkten für Gastronomie, Events, Hotellerie und Endkunden und klarem Fokus auf nachhaltige, biologisch abbaubare Materialien.";"https://ui.awin.com/images/upload/merchant/profile/122760.png";"https://www.papstar-shop.at/"
"102841";"Meinungsplatz AT";"";"0.00";"0.00";"2024-09-30";"amber";"exposurelevel1";"0";"no";"no";"0";"0";"0";"0";"30";"Retail & Shopping";"Lead Gen";"Lead Gen";"null";"AT";"meinungsplatz.at ist fortlaufend auf der Suche nach Menschen, die in Österreich leben und Lust haben, an unserer Umfrage-Community teilzunehmen.  Als Publisher erhalten Sie eine Provision pro Lead (erfolgreiche Registrierung).";"https://ui.awin.com/images/upload/merchant/profile/102841.png";"https://meinungsplatz.at/"
